사용일자,노선명,역명,승차총승객수,하차총승객수,자치구
20180108,2호선,왕십리(성동구청),19671.0,15762.0,성동구
20180108,2호선,한양대,9434.0,10515.0,성동구
20180108,2호선,뚝섬,18790.0,20153.0,성동구
20180108,2호선,성수,32360.0,34633.0,성동구
20180108,2호선,건대입구,43330.0,46552.0,광진구
20180108,2호선,구의(광진구청),26420.0,26112.0,광진구
20180108,2호선,강변(동서울터미널),46130.0,45779.0,광진구
20180108,2호선,용답,2696.0,2739.0,성동구
20180108,2호선,신답,1491.0,1783.0,성동구
20180108,2호선,신설동,4419.0,4377.0,동대문구
20180108,2호선,용두(동대문구청),2660.0,2790.0,동대문구
20180108,3호선,연신내,45011.0,43026.0,중랑구
20180108,3호선,금호,9503.0,8904.0,성동구
20180108,3호선,옥수,10570.0,11209.0,성동구
20180108,경원선,옥수,40.0,30.0,성동구
20180108,경원선,왕십리(성동구청),16062.0,18402.0,성동구
20180108,경원선,청량리(서울시립대입구),15158.0,16537.0,동대문구
20180108,중앙선,상봉(시외버스터미널),6220.0,5954.0,중랑구
20180108,경춘선,신내,738.0,765.0,중랑구
20180108,5호선,신금호,6400.0,6541.0,성동구
20180108,5호선,행당,9416.0,8505.0,성동구
20180108,5호선,왕십리(성동구청),5330.0,6110.0,성동구
20180108,5호선,마장,6797.0,6513.0,성동구
20180108,5호선,답십리,18164.0,16636.0,성동구
20180108,5호선,장한평,20665.0,20863.0,동대문구
20180108,5호선,군자(능동),11954.0,14847.0,광진구
20180108,5호선,아차산(어린이대공원후문),15117.0,14501.0,광진구
20180108,5호선,광나루(장신대),14826.0,13353.0,광진구
20180108,6호선,연신내,1.0,0.0,중랑구
20180108,6호선,봉화산(서울의료원),10860.0,10081.0,중랑구
20180108,7호선,먹골,11737.0,11507.0,중랑구
20180108,7호선,중화,12212.0,11794.0,중랑구
20180108,7호선,상봉(시외버스터미널),18590.0,17764.0,중랑구
20180108,7호선,면목,16652.0,16257.0,중랑구
20180108,7호선,사가정,17116.0,17117.0,중랑구
20180108,7호선,용마산,6940.0,6515.0,중랑구
20180108,7호선,중곡,11102.0,10536.0,광진구
20180108,7호선,군자(능동),15677.0,10025.0,광진구
20180108,7호선,어린이대공원(세종대),13092.0,13011.0,광진구
20180108,7호선,건대입구,16178.0,17188.0,광진구
20180108,7호선,뚝섬유원지,7612.0,7383.0,광진구
20180108,우이신설선,신설동,1622.0,1748.0,동대문구
20180109,우이신설선,신설동,1618.0,1727.0,동대문구
20180109,7호선,뚝섬유원지,7641.0,7361.0,광진구
20180109,7호선,건대입구,17162.0,17712.0,광진구
20180109,7호선,어린이대공원(세종대),13410.0,13364.0,광진구
20180109,7호선,군자(능동),15889.0,10005.0,광진구
20180109,7호선,중곡,11259.0,10464.0,광진구
20180109,7호선,용마산,6882.0,6377.0,중랑구
20180109,7호선,사가정,16921.0,17077.0,중랑구
20180109,7호선,면목,16716.0,16130.0,중랑구
20180109,7호선,상봉(시외버스터미널),18646.0,17664.0,중랑구
